_time,eventcount,firstpage,theugid,thedevice,isloggedin_r,time_hhmmss_r,login_or_create
2016-02-28T19:07:15.381-0500,3,wish,2202149a1532a1c926673d5,DESKTOP,"user by-session,user by-session,user by-session","19:07:15,19:07:15,19:07:16","N,N,N"
2016-02-28T19:07:09.180-0500,3,wish,15765b3d1532a1d938b4e8c,DESKTOP,"user by-session,user by-session,user by-session","19:07:09,19:07:09,19:07:09","N,N,N"
2016-02-28T19:05:54.069-0500,3,wish,15765b3d1532a1d938b4c95,MOBILE,"user by-session,user by-session,user by-session","19:05:54,19:05:54,19:05:54","N,N,N"
2016-02-28T18:57:00.905-0500,3,wish,2202149a1532a1c92665706,MOBILE,"user by-session,user by-session,user by-session","18:57:00,18:57:01,18:57:01","N,N,N"
2016-02-28T18:56:53.297-0500,5,wish,15765b3d1532a1d938b5550,MOBILE,"user by-session,user by-session,user by-session,user by-session,user","18:56:53,18:56:53,18:56:53,18:57:34,18:57:54","N,N,N,C,N"
2016-02-28T18:54:02.097-0500,5,wish,15765b3d1532a1d938b577a,MOBILE,"user by-session,user by-session,user by-session,user by-session,user","18:54:02,18:54:02,18:54:02,18:54:29,18:55:34","N,N,N,C,N"
2016-02-28T18:52:15.915-0500,12,wish,15765b3d1532907e7605620,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user","18:52:15,18:52:15,18:52:16,18:52:36,18:52:39,18:53:01,18:53:04,18:53:58,18:54:14,18:54:16,18:54:48,18:55:33","N,N,N,L,N,L,N,N,L,N,L,N"
2016-02-28T18:43:52.677-0500,3,wish,15765b3d1532a1d938b5eff,MOBILE,"user by-session,user by-session,user by-session","18:43:52,18:43:52,18:43:53","N,N,N"
2016-02-28T18:42:02.739-0500,13,wish,15765b3d1532a1d938b62d8,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session","18:42:02,18:42:02,18:42:03,18:42:19,18:42:21,18:42:29,18:42:31,18:43:26,18:43:28,18:44:13,18:44:16,18:44:40,18:44:42","N,N,N,L,N,L,N,C,N,C,N,L,N"
2016-02-28T18:35:02.079-0500,3,wish,15765b3d1532a1d938b6958,DESKTOP,"user by-session,user by-session,user by-session","18:35:02,18:35:02,18:35:02","N,N,N"
2016-02-28T18:33:58.569-0500,3,wish,15765b3d1532907e7606a07,DESKTOP,"user by-session,user by-session,user by-session","18:33:58,18:33:58,18:34:33","N,N,N"
2016-02-28T18:26:07.939-0500,3,wish,15765b3d1532a1d938b6cc4,MOBILE,"user by-session,user by-session,user by-session","18:26:07,18:26:08,18:26:17","N,N,N"
2016-02-28T18:22:32.140-0500,4,wish,2202149a1532a1c92666fbf,MOBILE,"user by-session,user by-session,user by-session,user by-session","18:22:32,18:22:32,18:22:33,18:23:12","N,N,N,C"
2016-02-28T18:17:01.636-0500,11,wish,2202149a1532a1c9266791c,MOBILE,"user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user,user,user,user,user","18:17:01,18:17:01,18:17:02,18:17:32,18:17:35,18:18:15,18:18:44,18:18:52,18:19:02,18:19:02,18:21:24","N,N,N,L,N,C,N,L,N,N,N"
2016-02-28T18:15:53.828-0500,9,wish,15765b3d1532a1d938b77a1,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session","18:15:53,18:15:53,18:15:54,18:16:09,18:16:21,18:16:28,18:16:33,18:18:24,18:19:25","N,N,N,N,N,N,N,N,N"
2016-02-28T18:15:11.970-0500,3,wish,15765b3d1532a1d938b740a,MOBILE,"user by-session,user by-session,user by-session","18:15:11,18:15:12,18:15:12","N,N,N"
2016-02-28T18:05:32.587-0500,4,wish,15765b3d1532a1d938b7e2b,MOBILE,"user by-session,user by-session,user by-session,user by-session","18:05:32,18:05:32,18:05:33,18:05:56","N,N,N,N"
2016-02-28T18:05:01.867-0500,3,wish,2202149a153290ae1234586,DESKTOP,"user by-session,user by-session,user by-session","18:05:01,18:05:02,18:05:02","N,N,N"
2016-02-28T17:57:36.180-0500,3,wish,2202149a153290ae1236c76,DESKTOP,"user by-session,user by-session,user by-session","17:57:36,17:57:36,17:57:37","N,N,N"
2016-02-28T17:54:38.677-0500,4,wish,2202149a153290ae12372c2,DESKTOP,"user by-session,user by-session,user by-session,user by-session","17:54:38,17:54:38,17:54:39,17:55:08","N,N,N,C"
2016-02-28T17:54:11.219-0500,3,wish,2202149a153290ae1237363,MOBILE,"user by-session,user by-session,user by-session","17:54:11,17:54:11,17:54:11","N,N,N"
2016-02-28T17:53:18.728-0500,3,wish,2202149a153290ae1237363,MOBILE,"user by-session,user by-session,user by-session","17:53:18,17:53:18,17:53:18","N,N,N"
2016-02-28T17:51:23.930-0500,4,wish,48e25935152e179f80af78,DESKTOP,"user by-session,user by-session,user by-session,user by-session","17:51:23,17:51:24,17:51:26,17:51:40","N,N,N,L"
2016-02-28T17:51:23.927-0500,1,wish,48e25935152e179f80af78,DESKTOP,user by-session,17:51:23,N
2016-02-28T17:51:23.913-0500,1,wish,48e25935152e179f80af78,DESKTOP,user by-session,17:51:23,N
2016-02-28T17:46:13.582-0500,3,wish,2202149a153290ae12365b3,TABLET,"user by-session,user by-session,user by-session","17:46:13,17:46:14,17:46:14","N,N,N"
2016-02-28T17:46:01.094-0500,3,wish,2202149a153290ae12365b3,TABLET,"user by-session,user by-session,user by-session","17:46:01,17:46:01,17:46:02","N,N,N"
2016-02-28T17:38:46.606-0500,12,wish,15765b3d1532907e76061e1,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user,user,user,user","17:38:46,17:38:46,17:38:47,17:38:54,17:38:57,17:39:07,17:39:09,17:39:22,17:39:40,17:39:47,17:39:48,17:39:49","N,N,N,L,N,L,N,L,N,N,N,N"
2016-02-28T17:36:02.637-0500,3,wish,2202149a153290ae1236ab0,MOBILE,"user by-session,user by-session,user by-session","17:36:02,17:36:02,17:36:03","N,N,N"
2016-02-28T17:35:42.543-0500,4,wish,2202149a153290ae12368db,MOBILE,"user by-session,user by-session,user by-session,user by-session","17:35:42,17:35:42,17:35:42,17:36:24","N,N,N,C"
2016-02-28T17:27:37.666-0500,3,wish,367fde161514a7b8f804864,TABLET,"user by-session,user by-session,user by-session","17:27:37,17:27:37,17:27:38","N,N,N"
2016-02-28T17:23:55.410-0500,3,wish,2202149a153290ae123417c,DESKTOP,"user by-session,user by-session,user by-session","17:23:55,17:23:55,17:23:57","N,N,N"
2016-02-28T17:08:33.785-0500,3,wish,4dbbb25515198324b3b2df9,DESKTOP,"user by-session,user by-session,user by-session","17:08:33,17:08:33,17:08:34","N,N,N"
2016-02-28T17:00:52.275-0500,3,wish,4dbbb25515198324b3b2df9,DESKTOP,"user by-session,user by-session,user by-session","17:00:52,17:00:52,17:00:53","N,N,N"
2016-02-28T17:00:41.280-0500,4,wish,15765b3d1532907e7604991,MOBILE,"user by-session,user by-session,user by-session,user by-session","17:00:41,17:00:41,17:00:41,17:01:26","N,N,N,C"
2016-02-28T16:45:57.831-0500,8,wish,5b8961f015324f43cfb6045,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user,user","16:45:57,16:45:58,16:45:58,16:46:18,16:46:21,16:46:48,16:47:12,16:47:38","N,N,N,L,N,C,N,N"
2016-02-28T16:40:10.750-0500,4,wish,15765b3d1532907e7602d61,TABLET,"user by-session,user by-session,user by-session,user by-session","16:40:10,16:40:10,16:40:11,16:40:49","N,N,N,C"
2016-02-28T16:31:30.348-0500,18,wish,2202149a153290ae1232dbd,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user,user,user,user,user,user,user,user,user,user,user,user","16:31:30,16:31:30,16:31:30,16:31:49,16:31:51,16:32:15,16:32:46,16:32:46,16:32:46,16:33:51,16:33:51,16:33:51,16:34:25,16:34:26,16:34:26,16:34:37,16:34:37,16:34:38","N,N,N,L,N,C,N,N,N,N,N,N,N,N,N,N,N,N"
2016-02-28T16:29:00.379-0500,5,wish,15765b3d1532907e7602dac,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user","16:29:00,16:29:00,16:29:01,16:29:14,16:29:42","N,N,N,L,N"
2016-02-28T16:26:50.477-0500,3,wish,2221a2f61522d3b92571223,DESKTOP,"user by-session,user by-session,user by-session","16:26:50,16:26:50,16:26:50","N,N,N"
2016-02-28T16:25:42.857-0500,5,wish,2202149a153290ae1232b88,MOBILE,"user by-session,user by-session,user by-session,user by-session,user by-session","16:25:42,16:25:43,16:25:44,16:25:45,16:25:46","N,N,N,N,N"
2016-02-28T16:21:52.105-0500,9,wish,15765b3d1532907e7601b1b,MOBILE,"user by-session,user by-session,user by-session,user by-session,user,user,user,user,user","16:21:52,16:21:52,16:21:53,16:24:29,16:25:13,16:25:14,16:25:20,16:25:27,16:25:33","N,N,N,L,N,N,N,N,N"
2016-02-28T16:13:17.296-0500,5,wish,15765b3d1532907e7601afd,MOBILE,"user by-session,user by-session,user by-session,user by-session,user","16:13:17,16:13:17,16:13:17,16:13:59,16:14:13","N,N,N,C,N"
2016-02-28T16:10:19.676-0500,3,wish,15765b3d1532907e7601cf0,DESKTOP,"user by-session,user by-session,user by-session","16:10:19,16:10:19,16:10:20","N,N,N"
2016-02-28T16:10:03.685-0500,3,wish,15765b3d1532907e7601cf0,DESKTOP,"user by-session,user by-session,user by-session","16:10:03,16:10:03,16:10:04","N,N,N"
2016-02-28T16:03:51.592-0500,14,wish,15765b3d1532907e76050a,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user,user,user,user,user,user,user,user,user,user","16:03:51,16:03:51,16:03:53,16:04:29,16:04:51,16:05:16,16:05:27,16:06:16,16:06:16,16:06:17,16:07:46,16:07:47,16:07:48,16:08:11","N,N,N,C,N,N,N,N,N,N,N,N,N,N"
2016-02-28T15:58:14.300-0500,8,wish,2202149a153290ae1231450,MOBILE,"user by-session,user by-session,user by-session,user by-session,user,user,user,user","15:58:14,15:58:15,15:58:18,15:59:12,15:59:32,16:00:31,16:02:13,16:02:33","N,N,N,C,N,N,N,N"
2016-02-28T15:57:13.768-0500,5,wish,2202149a1532795d7cd52a2,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user","15:57:13,15:57:13,15:57:14,15:57:39,15:58:03","N,N,N,C,N"
2016-02-28T15:52:46.534-0500,3,wish,4bd79196152ac04b2a06c0,MOBILE,"user by-session,user by-session,user by-session","15:52:46,15:52:46,15:52:46","N,N,N"
2016-02-28T15:51:03.487-0500,6,wish,6beada6e1527da3fd734496,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user,user","15:51:03,15:51:03,15:51:04,15:51:17,15:51:36,15:52:10","N,N,N,L,N,N"
2016-02-28T15:40:01.673-0500,4,wish,15765b3d1532907e7602f,DESKTOP,"user by-session,user by-session,user by-session,user by-session","15:40:01,15:40:01,15:40:02,15:40:18","N,N,N,N"
2016-02-28T15:37:18.066-0500,3,wish,2202149a153290ae123f8,MOBILE,"user by-session,user by-session,user by-session","15:37:18,15:37:18,15:37:18","N,N,N"
2016-02-28T15:34:14.720-0500,5,wish,15765b3d1532907e760f14,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user by-session","15:34:14,15:34:14,15:34:17,15:34:26,15:34:28","N,N,N,N,N"
2016-02-28T15:32:40.826-0500,3,wish,15765b3d1532907e760596,TABLET,"user by-session,user by-session,user by-session","15:32:40,15:32:41,15:32:41","N,N,N"
2016-02-28T15:30:41.746-0500,4,wish,15765b3d1532907e7607f3,DESKTOP,"user by-session,user by-session,user by-session,user by-session","15:30:41,15:30:41,15:30:42,15:31:02","N,N,N,C"
2016-02-28T15:27:20.208-0500,3,wish,4c91a5d51530af5b0115b12,DESKTOP,"user by-session,user by-session,user by-session","15:27:20,15:27:20,15:27:21","N,N,N"
2016-02-28T15:25:19.728-0500,3,wish,15765b3d1532907e7607e5,MOBILE,"user by-session,user by-session,user by-session","15:25:19,15:25:20,15:25:22","N,N,N"
2016-02-28T15:12:11.068-0500,7,wish,2202149a153290ae1231795,MOBILE,"user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session","15:12:11,15:12:11,15:12:12,15:12:37,15:12:41,15:13:01,15:13:04","N,N,N,L,N,L,N"
2016-02-28T15:04:10.844-0500,4,wish,2a1a803115152edce8f65e9,DESKTOP,"user by-session,user by-session,user by-session,user by-session","15:04:10,15:04:11,15:04:11,15:04:35","N,N,N,C"
2016-02-28T15:02:16.020-0500,3,wish,2a1a803115152edce8f65e9,DESKTOP,"user by-session,user by-session,user by-session","15:02:16,15:02:16,15:02:16","N,N,N"
2016-02-28T14:49:54.496-0500,3,wish,2202149a153290ae12329f7,TABLET,"user by-session,user by-session,user by-session","14:49:54,14:49:54,14:49:55","N,N,N"
2016-02-28T14:36:09.810-0500,5,wish,2cefbe5c1526ad79750525d,MOBILE,"user by-session,user by-session,user by-session,user by-session,user","14:36:09,14:36:09,14:36:10,14:36:23,14:36:31","N,N,N,L,N"
2016-02-28T14:31:39.995-0500,3,wish,15765b3d1532907e7603595,DESKTOP,"user by-session,user by-session,user by-session","14:31:39,14:31:40,14:31:41","N,N,N"
2016-02-28T14:09:58.518-0500,4,wish,5cdb565d151691f8e9f5dc0,DESKTOP,"user by-session,user by-session,user by-session,user by-session","14:09:58,14:09:58,14:09:59,14:10:08","N,N,N,N"
2016-02-28T14:07:31.555-0500,3,wish,1c50e7591531d491f11593b,DESKTOP,"user by-session,user by-session,user by-session","14:07:31,14:07:31,14:07:32","N,N,N"
2016-02-28T14:03:04.248-0500,3,wish,15765b3d1532907e7604e4c,TABLET,"user by-session,user by-session,user by-session","14:03:04,14:03:04,14:03:05","N,N,N"
2016-02-28T13:55:18.163-0500,4,wish,2202149a153290ae12356d2,MOBILE,"user by-session,user by-session,user by-session,user by-session","13:55:18,13:55:18,13:55:18,13:55:29","N,N,N,N"
2016-02-28T13:44:40.373-0500,4,wish,15765b3d1532907e7606b6d,DESKTOP,"user by-session,user by-session,user by-session,user by-session","13:44:40,13:44:40,13:44:41,13:45:39","N,N,N,N"
2016-02-28T13:42:53.487-0500,3,wish,2202149a153290ae123793b,MOBILE,"user by-session,user by-session,user by-session","13:42:53,13:42:53,13:42:54","N,N,N"
2016-02-28T13:42:31.765-0500,4,wish,34c6eba615312fc675c1339,DESKTOP,"user by-session,user by-session,user by-session,user by-session","13:42:31,13:42:32,13:42:32,13:43:05","N,N,N,N"
2016-02-28T13:42:29.600-0500,3,wish,2202149a153290ae1236349,DESKTOP,"user by-session,user by-session,user by-session","13:42:29,13:42:29,13:42:30","N,N,N"
2016-02-28T13:40:06.774-0500,3,wish,15765b3d1532907e76067ad,MOBILE,"user by-session,user by-session,user by-session","13:40:06,13:40:07,13:40:09","N,N,N"
2016-02-28T13:38:26.032-0500,3,wish,2202149a153290ae1236572,DESKTOP,"user by-session,user by-session,user by-session","13:38:26,13:38:26,13:38:26","N,N,N"
2016-02-28T13:24:29.390-0500,5,wish,15765b3d1532907e760702e,MOBILE,"user by-session,user by-session,user by-session,user by-session,user","13:24:29,13:24:29,13:24:30,13:25:20,13:25:48","N,N,N,C,N"
2016-02-28T13:23:10.484-0500,3,wish,2202149a153290ae1237769,DESKTOP,"user by-session,user by-session,user by-session","13:23:10,13:23:10,13:23:10","N,N,N"
2016-02-28T13:16:31.392-0500,5,wish,15765b3d1532907e760773f,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user by-session","13:16:31,13:16:31,13:16:32,13:17:55,13:18:27","N,N,N,N,N"
2016-02-28T13:14:53.670-0500,3,wish,2202149a153290ae1237692,MOBILE,"user by-session,user by-session,user by-session","13:14:53,13:14:53,13:14:54","N,N,N"
2016-02-28T13:09:54.543-0500,3,wish,2202149a1532795d7cd7b98,DESKTOP,"user by-session,user by-session,user by-session","13:09:54,13:09:54,13:09:55","N,N,N"
2016-02-28T13:07:43.217-0500,3,wish,15765b3d1532907e7607ca8,DESKTOP,"user by-session,user by-session,user by-session","13:07:43,13:07:43,13:07:44","N,N,N"
2016-02-28T13:07:35.672-0500,3,wish,15765b3d153278cb6937b66,DESKTOP,"user by-session,user by-session,user by-session","13:07:35,13:07:35,13:07:37","N,N,N"
2016-02-28T13:01:09.805-0500,4,wish,15765b3d153278cb69379fc,DESKTOP,"user by-session,user by-session,user by-session,user by-session","13:01:09,13:01:09,13:01:10,13:01:26","N,N,N,N"
2016-02-28T12:57:00.576-0500,4,wish,15765b3d153278cb6935fd4,DESKTOP,"user by-session,user by-session,user by-session,user by-session","12:57:00,12:57:00,12:57:00,12:57:16","N,N,N,C"
2016-02-28T12:54:22.460-0500,3,wish,15765b3d153278cb6937c87,DESKTOP,"user by-session,user by-session,user by-session","12:54:22,12:54:22,12:54:23","N,N,N"
2016-02-28T12:52:53.219-0500,4,wish,494f1b3914d5218f4a237d1,DESKTOP,"user by-session,user by-session,user by-session,user by-session","12:52:53,12:52:53,12:52:53,12:53:14","N,N,N,C"
2016-02-28T12:49:29.160-0500,7,wish,1a7467a3152f5253ca6de3,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session","12:49:29,12:49:29,12:49:29,12:49:36,12:50:17,12:50:45,12:52:39","N,N,N,N,N,N,N"
2016-02-28T12:43:28.442-0500,3,wish,2202149a1532795d7cd691b,MOBILE,"user by-session,user by-session,user by-session","12:43:28,12:43:28,12:43:28","N,N,N"
2016-02-28T12:40:55.174-0500,3,wish,15765b3d153278cb6936328,TABLET,"user by-session,user by-session,user by-session","12:40:55,12:40:55,12:40:56","N,N,N"
2016-02-28T12:39:04.927-0500,3,wish,3b8b80a51529237f1caf53,MOBILE,"user by-session,user by-session,user by-session","12:39:04,12:39:05,12:39:05","N,N,N"
2016-02-28T12:35:12.970-0500,4,wish,15765b3d153278cb6936671,DESKTOP,"user by-session,user by-session,user by-session,user by-session","12:35:12,12:35:13,12:35:13,12:35:19","N,N,N,L"
